City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,75,13.8,light rain
1,Aklavik,CA,68.2191,-135.0107,37.4,87,100,8.05,overcast clouds
2,Buluang,PH,13.3068,123.3425,78.06,89,100,12.26,overcast clouds
3,Bluff,NZ,-46.6,168.3333,45.45,74,57,11.97,broken clouds
4,Mataura,NZ,-46.1927,168.8643,32.41,98,4,2.55,clear sky
5,Dingle,PH,10.9995,122.6711,75.47,93,100,5.91,heavy intensity rain
6,Bereda,ES,43.2686,-7.5406,71.42,73,20,7.45,few clouds
7,Bredasdorp,ZA,-34.5322,20.0403,60.55,77,74,16.26,broken clouds
8,Hobart,AU,-42.8794,147.3294,51.66,92,75,12.66,broken clouds
9,Sabinas Hidalgo,MX,26.5,-100.1667,84.52,57,0,5.44,clear sky
10,Chokurdakh,RU,70.6333,147.9167,32.36,82,95,4.76,overcast clouds
11,Butaritari,KI,3.0707,172.7902,81.7,68,81,15.05,broken clouds
12,Sept-Iles,CA,50.2001,-66.3821,46.92,82,100,12.66,light rain
13,Punta Arenas,CL,-53.15,-70.9167,41.11,60,40,19.57,scattered clouds
14,Rikitea,PF,-23.1203,-134.9692,71.22,76,8,7.83,light rain
15,Georgetown,MY,5.4112,100.3354,81.9,86,20,2.3,few clouds
16,Daur,PK,26.4583,68.3192,88.2,52,0,8.55,clear sky
17,Hermanus,ZA,-34.4187,19.2345,61.81,86,78,14.9,broken clouds
18,Ystad,SE,55.4297,13.8204,56.14,71,93,15.21,light rain
19,Port Hedland,AU,-20.3167,118.5667,64.45,63,9,6.91,clear sky
20,San Vicente,AR,-26.6167,-54.1333,75.13,30,4,3.29,clear sky
21,Ushuaia,AR,-54.8,-68.3,40.62,48,0,4.61,clear sky
22,Kapaa,US,22.0752,-159.319,71.92,78,0,10.36,clear sky
23,Ippy,CF,6.2679,21.2247,75.72,91,94,1.12,light rain
24,Taywarah,AF,33.35,64.4167,53.83,20,0,8.03,clear sky
25,Twentynine Palms,US,34.1356,-116.0542,79.25,35,2,3.0,clear sky
26,Nikolskoye,RU,59.7035,30.7861,51.78,71,100,6.69,moderate rain
27,Hambantota,LK,6.1241,81.1185,80.94,78,20,9.22,few clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,68.02,56,75,19.57,broken clouds
29,Adrar,MR,20.5022,-10.0711,98.49,16,3,14.54,clear sky
30,Port Alfred,ZA,-33.5906,26.891,64.18,88,73,3.0,broken clouds
31,Novoagansk,RU,61.9449,76.6625,48.45,76,88,7.4,overcast clouds
32,Tahta,EG,26.7693,31.5021,89.4,21,0,12.53,clear sky
33,Carolina,PR,18.3808,-65.9574,90.72,85,40,14.97,scattered clouds
34,Busselton,AU,-33.65,115.3333,56.53,71,45,5.01,scattered clouds
35,Ciudad Bolivar,VE,8.1222,-63.5497,93.36,47,50,6.46,scattered clouds
36,Cayenne,GF,4.9333,-52.3333,87.84,74,75,3.44,broken clouds
37,Port Elizabeth,ZA,-33.918,25.5701,65.1,87,20,18.41,few clouds
38,Albany,US,42.6001,-73.9662,65.64,60,57,6.91,broken clouds
39,Hilo,US,19.7297,-155.09,74.28,85,75,4.61,broken clouds
40,Upernavik,GL,72.7868,-56.1549,39.02,92,96,8.12,overcast clouds
41,Bintulu,MY,3.1667,113.0333,77.41,94,20,0.0,few clouds
42,Shache,CN,38.4167,77.2406,78.04,16,84,7.78,broken clouds
43,Aguimes,ES,27.9054,-15.4461,79.43,51,20,27.63,few clouds
44,New Norfolk,AU,-42.7826,147.0587,51.3,87,100,1.01,overcast clouds
45,Thompson,CA,55.7435,-97.8558,51.96,93,75,0.0,broken clouds
46,Tayga,RU,56.06,85.6197,41.92,84,76,2.77,broken clouds
47,Mozhga,RU,56.4447,52.2276,48.29,90,25,4.9,scattered clouds
48,East London,ZA,-33.0153,27.9116,65.34,82,0,13.8,clear sky
49,Vaini,TO,-21.2,-175.2,71.76,100,20,5.75,few clouds
50,Kuala Terengganu,MY,5.3302,103.1408,78.75,89,20,2.3,few clouds
51,Souillac,MU,-20.5167,57.5167,70.18,83,75,13.8,broken clouds
52,Tiksi,RU,71.6872,128.8694,38.08,77,100,18.5,overcast clouds
53,Puerto Ayora,EC,-0.7393,-90.3518,69.76,84,97,4.0,overcast clouds
54,Santa Cruz,BO,-17.8,-63.1667,80.65,32,40,6.91,scattered clouds
55,Okhotsk,RU,59.3833,143.3,41.13,57,2,17.74,clear sky
56,Saint George,US,37.1041,-113.5841,79.43,54,20,1.01,few clouds
57,Del Rio,US,29.3627,-100.8968,82.24,76,40,12.66,scattered clouds
58,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,81,100,8.05,overcast clouds
59,Itarema,BR,-2.9248,-39.9167,86.5,59,45,18.5,scattered clouds
60,Healesville,AU,-37.65,145.5167,50.23,83,40,1.99,scattered clouds
61,Marawi,PH,7.9986,124.2928,69.42,79,99,3.89,overcast clouds
62,Wageningen,NL,51.9667,5.6667,61.34,69,100,8.05,overcast clouds
63,Abu Samrah,SY,35.3029,37.1841,86.02,21,0,4.03,clear sky
64,Wynyard,AU,-41.0,145.7167,50.95,91,70,4.36,light rain
65,Sisimiut,GL,66.9395,-53.6735,49.24,75,97,8.03,overcast clouds
66,Mahebourg,MU,-20.4081,57.7,72.25,83,75,13.8,broken clouds
67,Penzance,GB,50.1186,-5.5371,62.76,63,20,18.41,few clouds
68,Severomuysk,RU,56.1481,113.4267,32.31,74,86,3.76,overcast clouds
69,Jamestown,US,42.097,-79.2353,73.02,58,28,1.99,scattered clouds
70,Narsaq,GL,60.9167,-46.05,50.52,90,100,12.24,moderate rain
71,Fairbanks,US,64.8378,-147.7164,45.82,95,75,6.91,fog
72,Paamiut,GL,61.994,-49.6678,46.33,99,100,3.71,light rain
73,Te Anau,NZ,-45.4167,167.7167,35.87,92,51,0.81,broken clouds
74,Bengkulu,ID,-3.8004,102.2655,76.14,90,98,3.71,overcast clouds
75,Amahai,ID,-3.3333,128.9167,77.52,87,100,0.87,overcast clouds
76,Makakilo City,US,21.3469,-158.0858,73.98,84,20,4.61,few clouds
77,Port-Gentil,GA,-0.7193,8.7815,80.56,74,100,14.97,overcast clouds
78,Vaitape,PF,-16.5167,-151.75,77.67,74,61,23.17,broken clouds
79,Tazovskiy,RU,67.4667,78.7,38.61,68,100,9.08,overcast clouds
80,Ambunti,PG,-4.2365,142.8448,73.54,98,100,2.44,overcast clouds
81,Vila Franca Do Campo,PT,37.7167,-25.4333,77.41,74,46,11.43,scattered clouds
82,North Bend,US,43.4065,-124.2243,56.16,97,100,0.0,mist
83,Gat,IL,31.61,34.7642,84.4,2,0,11.5,clear sky
84,Helena,US,46.5927,-112.0361,55.17,88,100,0.0,light rain
85,Karratha,AU,-20.7377,116.8463,73.83,39,8,7.7,clear sky
86,Banda Aceh,ID,5.5577,95.3222,79.61,82,8,11.3,clear sky
87,Bambanglipuro,ID,-7.95,110.2833,76.84,85,97,8.52,overcast clouds
88,Aswan,EG,24.0934,32.907,99.7,11,0,11.5,clear sky
89,Rocha,UY,-34.4833,-54.3333,69.04,52,1,13.47,clear sky
90,Cape Town,ZA,-33.9258,18.4232,66.61,68,20,13.8,few clouds
91,Satipo,PE,-11.2522,-74.6386,71.2,83,95,2.46,overcast clouds
92,Arraial Do Cabo,BR,-22.9661,-42.0278,64.26,94,100,5.75,light rain
93,Wanaka,NZ,-44.7,169.15,36.1,80,9,1.99,clear sky
94,Longyearbyen,SJ,78.2186,15.6401,30.04,86,75,9.22,broken clouds
95,Asyut,EG,27.181,31.1837,89.78,23,0,9.93,clear sky
96,Lulea,SE,65.5842,22.1547,55.47,88,75,6.91,broken clouds
97,Port Keats,AU,-14.25,129.55,77.11,89,95,5.77,overcast clouds
98,Lompoc,US,34.6391,-120.4579,70.79,91,40,1.99,mist
99,Yulara,AU,-25.2406,130.9889,61.7,39,19,13.8,few clouds
100,Faanui,PF,-16.4833,-151.75,77.65,74,64,23.24,broken clouds
101,Isla Mujeres,MX,21.2311,-86.731,84.25,79,99,10.56,overcast clouds
102,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,57,15.84,light rain
103,Komsomolskiy,UZ,40.4272,71.7189,75.92,29,11,6.91,few clouds
104,Pecos,US,31.4229,-103.4932,82.31,65,0,0.0,clear sky
105,Cabo San Lucas,MX,22.8909,-109.9124,89.06,76,1,1.97,clear sky
106,Omboue,GA,-1.5746,9.2618,77.7,73,97,9.1,overcast clouds
107,Siilinjarvi,FI,63.0833,27.6667,53.62,87,40,4.61,scattered clouds
108,San Patricio,US,28.017,-97.5169,85.17,53,0,7.2,clear sky
109,Chumikan,RU,54.7183,135.315,45.37,72,76,6.67,broken clouds
110,Tocopilla,CL,-22.092,-70.1979,64.04,65,8,2.8,clear sky
111,Olafsvik,IS,64.8945,-23.7142,49.89,79,100,8.39,overcast clouds
112,Yellowknife,CA,62.456,-114.3525,54.12,87,20,8.05,smoke
