City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-09-13 15:25:36,71.2906,-156.7887,35.62,93,100,26.46
1,Caravelas,BR,2022-09-13 15:30:06,-17.7125,-39.2481,81.95,51,6,10.18
2,Faya,SA,2022-09-13 15:30:06,18.3851,42.4509,82.51,55,77,8.19
3,Lincoln,US,2022-09-13 15:28:06,40.8,-96.667,77.14,59,0,4.61
4,Casambalangan,PH,2022-09-13 15:30:07,18.3765,122.1274,79.38,81,73,2.64
5,Mar Del Plata,AR,2022-09-13 15:30:08,-38.0023,-57.5575,64.42,76,0,10.0
6,New Norfolk,AU,2022-09-13 15:30:08,-42.7826,147.0587,40.71,73,47,2.44
7,Bredasdorp,ZA,2022-09-13 15:30:09,-34.5322,20.0403,60.19,69,0,9.71
8,Cap-Aux-Meules,CA,2022-09-13 15:30:09,47.3821,-61.8597,68.05,77,75,5.75
9,Arraial Do Cabo,BR,2022-09-13 15:30:10,-22.9661,-42.0278,82.36,78,40,11.5
10,Cape Town,ZA,2022-09-13 15:27:05,-33.9258,18.4232,69.12,73,0,15.01
11,Bluff,NZ,2022-09-13 15:30:10,-46.6,168.3333,42.91,70,89,9.82
12,Nainpur,IN,2022-09-13 15:30:10,22.4333,80.1167,73.69,97,100,9.08
13,Pangnirtung,CA,2022-09-13 15:30:11,66.1451,-65.7125,50.0,81,100,4.61
14,Georgetown,MY,2022-09-13 15:28:57,5.4112,100.3354,81.95,85,20,3.44
15,Saint-Augustin,CA,2022-09-13 15:30:11,51.226,-58.6502,69.49,51,25,3.09
16,Jamestown,US,2022-09-13 15:29:17,42.097,-79.2353,66.02,76,20,7.0
17,North Platte,US,2022-09-13 15:30:12,41.1239,-100.7654,58.89,67,0,4.61
18,Hobart,AU,2022-09-13 15:30:12,-42.8794,147.3294,41.05,92,31,5.75
19,Khani,GE,2022-09-13 15:30:12,41.9563,42.9566,62.17,97,83,1.97
20,Carlsbad,US,2022-09-13 15:26:31,33.1581,-117.3506,75.81,91,100,1.01
21,Masallatah,LY,2022-09-13 15:30:13,32.6167,14.0,81.59,53,0,11.5
22,Taketa,JP,2022-09-13 15:30:13,32.9652,131.3785,77.79,98,75,4.21
23,Kapaa,US,2022-09-13 15:30:14,22.0752,-159.319,74.1,91,10,9.91
24,Punta Arenas,CL,2022-09-13 15:30:14,-53.15,-70.9167,44.62,70,75,17.27
25,Barysh,RU,2022-09-13 15:30:14,53.6553,47.1123,56.07,55,100,9.22
26,Maniitsoq,GL,2022-09-13 15:30:15,65.4167,-52.9,44.28,84,100,7.4
27,Honghu,CN,2022-09-13 15:30:15,29.8206,113.4621,72.5,64,0,7.87
28,Coahuayana,MX,2022-09-13 15:30:15,18.7333,-103.6833,82.65,73,100,1.48
29,Carballo,ES,2022-09-13 15:30:16,43.213,-8.691,71.91,87,100,9.19
